stage,participants
Merged demographic participants,9254
Positive two-day dietary weight,7641
Two reliable dietary recalls,6491
Age 20 years or older,4139
Not identified as pregnant,4095
"Complete energy, fiber, and sodium",4095
Complete income-to-poverty ratio for regression,3644
